127.0.0.1, 2018-10-27 23:23:37, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.116000
127.0.0.1, 2018-10-27 23:23:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-27 23:23:39, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-27.23-23-37.ff66b57a-2f7b-4217-a4e0-f7fc73558ac7, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-10-27 23:23:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-27 23:27:38, GET, /, HTTP/1.1, 303, 0.828000
127.0.0.1, 2018-10-27 23:27:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.144000
127.0.0.1, 2018-10-27 23:27:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:27:40, GET, /admin/default/index, HTTP/1.1, 303, 0.142000
127.0.0.1, 2018-10-27 23:27:40, GET, /admin/default/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-27 23:27:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:27:42, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.300000
127.0.0.1, 2018-10-27 23:27:42, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:27:42, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:27:42, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:27:42, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:27:44, GET, /admin/default/index, HTTP/1.1, 303, 0.026000
127.0.0.1, 2018-10-27 23:27:44, GET, /admin/default/site, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-10-27 23:27:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:27:47, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.129000
127.0.0.1, 2018-10-27 23:27:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:27:49, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-27.23-27-47.a0cae9fd-cb58-4c66-9776-53f884d7a32a, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-10-27 23:27:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:30:05, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-10-27 23:30:05, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:05, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:05, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:06, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:30:51, GET, /admin/default/index, HTTP/1.1, 303, 0.010000
127.0.0.1, 2018-10-27 23:30:51, GET, /admin/default/site, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-27 23:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:30:53, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-10-27 23:30:53, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:53, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:53, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:30:53, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:35:48, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-10-27 23:35:48, GET, /admin/default/site, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-10-27 23:35:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:35:50, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.043000
127.0.0.1, 2018-10-27 23:35:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:35:55, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-27.23-35-50.f6c2e8d5-2ffc-4a16-9368-177dd9ecdde8, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-27 23:35:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:33:59, GET, /, HTTP/1.1, 303, 0.830000
127.0.0.1, 2018-10-28 09:33:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.172000
127.0.0.1, 2018-10-28 09:34:00, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-28 09:34:01, GET, /admin/default/index, HTTP/1.1, 200, 0.218000
127.0.0.1, 2018-10-28 09:34:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:34:03, POST, /admin/default/index, HTTP/1.1, 303, 0.028000
127.0.0.1, 2018-10-28 09:34:04, GET, /admin/default/site, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-10-28 09:34:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.228000
127.0.0.1, 2018-10-28 09:34:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-28 09:34:05, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.374000
127.0.0.1, 2018-10-28 09:34:05, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-28 09:34:05, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-28 09:34:05, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-28 09:34:05, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-28 09:39:46, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-10-28 09:39:46, GET, /admin/default/site, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-10-28 09:39:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:39:47, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.148000
127.0.0.1, 2018-10-28 09:39:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:39:49, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-28.09-39-47.306f1370-af40-42df-a14f-0a0be5ab2142, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-10-28 09:39:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-28 09:40:23, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-10-28 09:40:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-28 09:40:25, GET, /TutorPlus/default/index, HTTP/1.1, 500, 0.024000
127.0.0.1, 2018-10-28 09:40:25, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-28 09:40:27, GET, /admin/default/ticket/TutorPlus/127.0.0.1.2018-10-28.09-40-25.1e44a290-3349-4806-9241-803bee1e49b0, HTTP/1.1, 200, 0.079000
127.0.0.1, 2018-10-28 09:40:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:42:23, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-10-28 09:42:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-28 09:42:27, GET, /TutorPlus/default/index, HTTP/1.1, 200, 2.147000
127.0.0.1, 2018-10-28 09:42:27, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
